address,hwaddr,client_id,valid_lifetime,expire,subnet_id,fqdn_fwd,fqdn_rev,hostname,state,user_context,pool_id
192.168.100.50,02:42:c0:a8:64:02,ff:c0:a8:64:02:00:04:a3:25:c9:e9:b8:51:44:64:b5:e6:e2:ea:d3:c9:79:f5,7200,1754300737,1,0,0,,0,,0
192.168.100.50,02:42:c0:a8:64:02,ff:c0:a8:64:02:00:04:a3:25:c9:e9:b8:51:44:64:b5:e6:e2:ea:d3:c9:79:f5,7200,1754301111,1,0,0,,0,,0
